language,census1,pop1,census2,pop2
Lalung,2001,27072,2011,33921
Lepcha,1971,33360,1981,27814
Lepcha,1981,27814,1991,39342
Lepcha,1991,39342,2001,50629
Lepcha,2001,50629,2011,47331
Liangmei,1991,27478,2001,34232
Liangmei,2001,34232,2011,49811
Limbu,1981,20258,1991,28174
Limbu,1991,28174,2001,37265
Limbu,2001,37265,2011,40835
Lotha,1971,36949,1981,58116
Lotha,1981,58116,1991,85802
Lotha,1991,85802,2001,170001
Lotha,2001,170001,2011,179467
Lushai/Mizo,1971,271554,1981,384528
Lushai/Mizo,1981,384528,1991,538842
Lushai/Mizo,1991,538842,2001,674756
Lushai/Mizo,2001,674756,2011,830846
Malto,1981,100177,1991,108148
Malto,1991,108148,2001,224926
Malto,2001,224926,2011,234991
Mao,1971,35381,1981,58813
Mao,1981,58813,1991,77810
Maram,1991,10144,2001,37340
Maram,2001,37340,2011,32460
Maring,1981,11663,1991,15268
Maring,1991,15268,2001,22326
Maring,2001,22326,2011,25814
Miri/Mishing,1991,390583,2001,551224
Miri/Mishing,2001,551224,2011,629954
Mishmi,1971,22354,1981,24182
Mishmi,1981,24182,1991,29000
Mishmi,1991,29000,2001,33955
Mishmi,2001,33955,2011,44100
Mogh,1971,12378,1981,17458
Mogh,1981,17458,1991,28135
Mogh,1991,28135,2001,30639
Mogh,2001,30639,2011,36665
Monpa,1971,26369,1981,33320
Monpa,1981,33320,1991,43226
Monpa,1991,43226,2001,55876
Monpa,2001,55876,2011,13703
Munda,1971,309293,1981,377492
Munda,1981,377492,1991,413894
Munda,1991,413894,2001,469357
Munda,2001,469357,2011,505922
Mundari,1971,771253,1981,742739
Mundari,1981,742739,1991,861378
Mundari,1991,861378,2001,1061352
Mundari,2001,1061352,2011,1128228
Nicobarese,1971,17971,1981,21542
Nicobarese,1981,21542,1991,26261
Nicobarese,1991,26261,2001,28784
Nicobarese,2001,28784,2011,29099
Nissi/Dafla,1971,114678,1981,140986
Nissi/Dafla,1981,140986,1991,173791
Nissi/Dafla,1991,173791,2001,211485
Nissi/Dafla,2001,211485,2011,406532
Nocte,1971,25263,1981,23776
Nocte,1981,23776,1991,30441
Nocte,1991,30441,2001,32957
Nocte,2001,32957,2011,30839
Paite,1971,27157,1981,32607
Paite,1981,32607,1991,49237
Paite,1991,49237,2001,64100
Paite,2001,64100,2011,79507
Parji,1971,73912,1981,35758
Parji,1981,35758,1991,44001
Parji,1991,44001,2001,51216
Parji,2001,51216,2011,52349
Pawi,1971,10560,1981,11656
Pawi,1981,11656,1991,15346
Pawi,1991,15346,2001,24965
Pawi,2001,24965,2011,28639
Phom,1971,18017,1981,24487
Phom,1981,24487,1991,65350
Phom,1991,65350,2001,122508
Phom,2001,122508,2011,54416
Pochury,1991,11231,2001,16744
Pochury,2001,16744,2011,21654
Rabha,1971,51146,1981,22351
Rabha,1981,22351,1991,139365
Rabha,1991,139365,2001,164770
Rabha,2001,164770,2011,139986
Rai,2001,14378,2011,15644
Rengma,1981,15563,1991,37521
Rengma,1991,37521,2001,61345
Rengma,2001,61345,2011,65328
Sangtam,1971,20015,1981,28513
Sangtam,1981,28513,1991,47461
Sangtam,1991,47461,2001,84273
Sangtam,2001,84273,2011,76000
Savara,1971,222018,1981,209092
Savara,1981,209092,1991,273168
Savara,1991,273168,2001,252519
Savara,2001,252519,2011,409549
Sema,1971,65227,1981,95630
Sema,1981,95630,1991,166157
Sema,1991,166157,2001,103529
Sema,2001,103529,2011,10802
Sherpa,1981,14195,1991,16105
Sherpa,1991,16105,2001,18342
Sherpa,2001,18342,2011,16012
Shina,1981,10275,1991,14858
Tamang,2001,17494,2011,20154
Tangkhul,1971,58167,1981,79887
Tangkhul,1981,79887,1991,101841
Tangkhul,1991,101841,2001,142035
Tangkhul,2001,142035,2011,187276
Tangsa,1971,13333,1981,12027
Tangsa,1981,12027,1991,28121
Tangsa,1991,28121,2001,40086
Tangsa,2001,40086,2011,38624
Thado,1971,51054,1981,57536
Thado,1981,57536,1991,107992
Thado,1991,107992,2001,190595
Thado,2001,190595,2011,229340
Tibetan,1971,49221,1981,63431
Tibetan,1981,63431,1991,69416
Tibetan,1991,69416,2001,85278
Tibetan,2001,85278,2011,182685
Tripuri,1971,372579,1981,502067
Tripuri,1981,502067,1991,694940
Tripuri,1991,694940,2001,854023
Tripuri,2001,854023,2011,1011294
Tulu,1971,1158419,1981,1417224
Tulu,1981,1417224,1991,1552259
Tulu,1991,1552259,2001,1722768
Tulu,2001,1722768,2011,1846427
Vaiphei,1971,12209,1981,15618
Vaiphei,1981,15618,1991,26185
Vaiphei,1991,26185,2001,39673
Vaiphei,2001,39673,2011,42748
Wancho,1971,28649,1981,32442
Wancho,1981,32442,1991,39600
Wancho,1991,39600,2001,49072
Wancho,2001,49072,2011,59154
Yimchungre,1971,19609,1981,26672
Yimchungre,1981,26672,1991,47227
Yimchungre,1991,47227,2001,92144
Yimchungre,2001,92144,2011,83259
Zeliang,1991,35079,2001,61547
Zeliang,2001,61547,2011,63529
Zemi,1981,10619,1991,22634
Zemi,1991,22634,2001,34110
Zemi,2001,34110,2011,50925
Zou,1981,12515,1991,15966
Zou,1991,15966,2001,20857
Zou,2001,20857,2011,26545
